OPERATOR_ID,NAME,COUNTRY,CONTINENT,GSMA_NOTES,NUMBER OF SUBMISSIONS,LATEST_2G,LATEST_3G,LATEST_4G,LATEST_5G
960,Ooredoo,"Oman, Sultanate of",ASIA,-,2,2013,2013,2013,-
297,Jazz (VEON),Pakistan,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
377,PTCL,Pakistan,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
378,Zong (China Mobile),Pakistan,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
506,Telenor,Pakistan,ASIA,-,1,2012,Not Submitted,Not Submitted,-
3546,Special Communications Organization,Pakistan,ASIA,-,-,Not Submitted,No Licence,No Licence,-
4655,Wateen Telecom (Abu Dhabi),Pakistan,ASIA,-,-,No Licence,No Licence,Not Submitted,-
4656,wi-tribe,Pakistan,ASIA,-,-,No Licence,No Licence,Not Submitted,-
4891,Qubee (Augere),Pakistan,ASIA,-,-,No Licence,No Licence,Not Submitted,-
747,PalauCel (PNCC),"Palau, Republic of",ASIA,-,-,Not Submitted,Not Submitted,No Licence,-
64,Cable & Wireless,"Panama, Republic of",N AMERICA,-,2,2013,2013,Not Submitted,-
749,Tigo (Millicom),"Panama, Republic of",N AMERICA,-,4,2018,2018,2018,No Licence
1860,Digicel,"Panama, Republic of",N AMERICA,-,2,2015,2015,Not Submitted,-
1898,Claro,"Panama, Republic of",N AMERICA,-,1,2012,2012,Not Submitted,-
376,bmobile-Vodafone,Papua New Guinea,OCEANIA,-,1,2013,No Licence,No Licence,-
1128,Digicel (Telstra),Papua New Guinea,OCEANIA,-,2,2012,Not Submitted,Not Submitted,-
5598,Telikom,Papua New Guinea,OCEANIA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
207,Vox (Hola),Paraguay,S AMERICA,-,1,2013,2013,2013,-
219,Claro (America Movil),Paraguay,S AMERICA,-,1,2005,Not Submitted,Not Submitted,-
339,Personal (Telecom Argentina),Paraguay,S AMERICA,-,2,2012,2012,Not Submitted,No Licence
820,Tigo (Millicom),Paraguay,S AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
521,Claro (America Movil),Peru,S AMERICA,-,1,2004,Not Submitted,Not Submitted,-
613,Movistar (Telefonica),Peru,S AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
971,Entel,Peru,S AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,No Licence
4144,Bitel (Viettel),Peru,S AMERICA,-,-,No Licence,Not Submitted,Not Submitted,-
5951,DIRECTV,Peru,S AMERICA,-,-,No Licence,No Licence,Not Submitted,-
193,Globe Telecom,Philippines,ASIA,-,1,2010,2010,Not Submitted,No Licence
433,Smart (PLDT),Philippines,ASIA,-,4,2019,2019,2019,-
1412,Net1 (Broadband Everywhere),Philippines,ASIA,-,-,No Licence,No Licence,Not Submitted,-
1835,ABS-CBN Convergence,Philippines,ASIA,-,-,Not Submitted,Not Submitted,No Licence,-
4661,BayanTel,Philippines,ASIA,-,-,No Licence,No Licence,Not Submitted,-
389,Plus (Cyfrowy Polsat),Poland,EUROPE,-,5,2018,2018,2018,-
390,T-Mobile (Deutsche Telekom),Poland,EUROPE,-,1,2006,2006,Not Submitted,-
398,Orange,Poland,EUROPE,-,5,2019,2019,2019,-
1049,Play (Iliad),Poland,EUROPE,-,5,2013,2012,2013,-
3733,Mobyland (Midas),Poland,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
5213,NetMaks (Milmex),Poland,EUROPE,-,-,No Licence,No Licence,Not Submitted,-
355,NOS,Portugal,EUROPE,-,2,2014,2014,2014,-
523,MEO (Altice Europe),Portugal,EUROPE,-,2,2011,2011,Not Submitted,-
568,Vodafone,Portugal,EUROPE,-,3,2017,2017,2017,-
2007,Rede Nacional de Telecomunicacoes,Portugal,EUROPE,-,-,No Licence,Not Submitted,No Licence,-
814,Liberty,Puerto Rico,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
815,Open Mobile/T-Mobile,Puerto Rico,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
816,Sprint (SoftBank),Puerto Rico,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
817,Claro (America Movil),Puerto Rico,N AMERICA,-,1,2011,2011,Not Submitted,-
943,T-Mobile (Deutsche Telekom),Puerto Rico,N AMERICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1849,Proxtel Wireless (North Sight Comms),Puerto Rico,N AMERICA,-,-,Not Submitted,No Licence,No Licence,-
5353,AeroNet,Puerto Rico,N AMERICA,-,-,No Licence,No Licence,Not Submitted,-
605,Ooredoo,Qatar,ASIA,-,4,2019,2019,2019,2019
1274,Vodafone,Qatar,ASIA,-,2,2017,2017,2017,-
368,Orange,"Réunion, La",AFRICA,-,2,2012,2012,Not Submitted,No Licence
751,SFR (Altice Europe),"Réunion, La",AFRICA,-,2,2012,Not Submitted,Not Submitted,-
791,free (Axian / Iliad),"Réunion, La",AFRICA,-,2,2018,2018,Not Submitted,-
6458,ZEOP Mobile,"Réunion, La",AFRICA,-,-,No Licence,No Licence,Not Submitted,-
127,Telekom Romania (OTE),Romania,EUROPE,-,3,2019,2019,2019,No Licence
289,Vodafone,Romania,EUROPE,-,4,2012,2012,2016,-
369,Orange,Romania,EUROPE,-,5,2012,2019,2019,No Licence
1132,Digi Mobil (RCS & RDS),Romania,EUROPE,-,1,No Licence,2013,Not Submitted,-
262,MOTIV,Russia,ASIA,-,1,2009,No Licence,Not Submitted,No Licence
276,MegaFon,Russia,ASIA,-,9,2019,2019,2019,-
295,MTS (Sistema),Russia,ASIA,-,9,2019,2019,2019,-
618,Beeline (VEON),Russia,ASIA,-,2,2015,2015,2015,No Licence
875,Tele2 (Rostelecom),Russia,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
4026,Osnova Telekom (Voentelecom),Russia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
4886,Vainakh Telecom,Russia,ASIA,-,-,Not Submitted,No Licence,Not Submitted,-
5137,Enforta (ER-Telecom),Russia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
5212,Antares Telecom,Russia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
5237,Smoltelekom,Russia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
5251,OSS-Telecom,Russia,ASIA,-,-,Not Submitted,No Licence,No Licence,-
5596,Fly (Tattelecom),Russia,ASIA,-,-,Not Submitted,No Licence,Not Submitted,-
321,MTN,"Rwanda, Republic of",AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
2014,Tigo (Millicom),"Rwanda, Republic of",AFRICA,-,1,2010,2010,Not Submitted,-
4659,Airtel (Airtel Africa),"Rwanda, Republic of",AFRICA,-,1,2014,2014,Not Submitted,-
